DÃ­a,Ventas Acumuladas
1,65925.24000000002
2,66461.55000000002
3,66710.01000000002
4,51009.590000000026
5,66879.92000000003
6,67494.14000000003
7,67789.82000000002
8,68778.58000000002
9,70504.42000000001
10,70810.08000000002
11,71720.02000000002
12,72082.95000000001
13,72139.30000000002
14,72253.50000000001
15,72331.29000000001
16,73056.66
17,73095.92
18,73642.67
19,74120.13
20,74591.79000000001
21,74669.09000000001
22,74890.83000000002
23,75169.06000000001
24,75533.25000000001
25,75995.91000000002
26,76585.98000000003
27,76870.00000000003
28,77075.20000000003
29,64022.54000000002
30,64735.08000000002
31,65781.76000000002
